"contrast","estimate","SE","df","z.ratio","p.value"
"stimulus1 PC - stimulus3 PC",1.7172099361556,0.0601232510278506,Inf,28.5614950422448,0
"stimulus1 PC - stimulus2 PI",1.21086730264231,0.0597364840470793,Inf,20.2701468283271,0
"stimulus1 PC - stimulus4 PI",2.26646408192185,0.0595872661317217,Inf,38.0360474486558,0
"stimulus3 PC - stimulus2 PI",-0.506342633513283,0.04944839343059,Inf,-10.239819706661,3.29736238313671e-14
"stimulus3 PC - stimulus4 PI",0.549254145766251,0.0478529215390954,Inf,11.4779647323626,0
"stimulus2 PI - stimulus4 PI",1.05559677927953,0.0455552713557221,Inf,23.1717811762511,0
"HTA - LTA",0.0820456104104019,0.331481101932565,Inf,0.247512180730873,0.804511865852061
"PC - PI",0.880060724204282,0.039255723982629,Inf,22.4186598773141,2.58862051152318e-111
"1 - 2",-0.511834128455224,0.0481005202144946,Inf,-10.6409270871251,4.85167461761193e-14
"1 - 3v1",-0.803210266232667,0.059377088872376,Inf,-13.5272759491304,0
"1 - 3v2",-0.908688395747719,0.0696895319157249,Inf,-13.0390945493304,0
"1 - 4",-1.02230251881599,0.0515802293220543,Inf,-19.8196582731919,0
"2 - 3v1",-0.291376137777443,0.0590896511995298,Inf,-4.93108576311518,8.09933676804153e-06
"2 - 3v2",-0.396854267292494,0.0690405416717168,Inf,-5.7481337440762,9.00543352111427e-08
"2 - 4",-0.510468390360763,0.0531232066766019,Inf,-9.60914113239325,3.75255382323303e-14
"3v1 - 3v2",-0.105478129515051,0.0823147060592564,Inf,-1.28140079172633,0.702731668239678
"3v1 - 4",-0.21909225258332,0.0636363040382379,Inf,-3.44288147928377,0.00521419891821395
"3v2 - 4",-0.113614123068269,0.0725592098534295,Inf,-1.56581257290109,0.519476791066829
