"userId","trialNumber","stimulus","knocked","scoreChange"
23871,35,1,1,50
23871,36,2,0,-50
23871,37,3,1,-50
23871,38,1,1,50
23871,39,3,1,0
23871,40,2,1,50
23871,41,4,1,0
23871,42,1,1,50
23871,43,3,1,0
23871,44,1,1,50
23871,45,3,1,0
23871,46,2,1,0
23871,47,4,1,0
23871,48,3,1,-50
23871,49,1,1,50
23871,50,2,1,0
23871,51,2,1,0
23871,52,4,1,-50
23871,53,2,1,0
23871,54,4,1,0
23871,55,1,1,50
23871,56,3,1,0
23871,57,4,1,0
23871,58,3,0,50
23871,59,3,1,-50
23871,60,3,1,-50
23871,61,2,1,0
23871,62,4,1,-50
23871,63,1,1,50
23871,64,4,1,0
23871,65,3,0,0
23871,66,4,1,-50
23871,67,4,1,0
23871,68,1,1,50
23871,69,2,0,0
23871,70,3,1,0
23871,71,2,1,0
23871,72,1,1,50
23871,73,2,0,0
23871,74,1,1,50
23871,75,2,1,0
23871,76,4,1,0
23871,77,1,1,50
23871,78,4,1,0
23871,79,1,1,50
23871,80,2,0,-50
23871,81,3,1,0
23871,82,2,1,0
23871,83,4,1,0
23871,84,2,1,0
23871,85,3,1,-50
23871,86,4,1,0
23871,87,1,1,50
23871,88,1,1,50
23871,89,3,1,0
23871,90,1,1,50
23871,91,3,1,-50
23871,92,1,1,50
23871,93,3,0,0
23871,94,2,1,0
23871,95,2,1,0
23871,96,3,1,-50
23871,97,3,0,0
23871,98,3,0,0
23871,99,1,1,50
23871,100,3,0,0
23871,1,4,1,0
23871,2,2,0,-50
23871,3,2,0,-50
23871,4,2,1,0
23871,18,1,1,50
23871,19,1,1,0
23871,20,4,1,0
23871,21,4,0,50
23871,22,4,1,-50
23871,23,1,1,50
23871,24,3,0,0
23871,25,1,1,50
23871,26,2,0,-50
23871,27,4,1,0
23871,28,2,0,0
23871,9,4,1,0
23871,10,3,1,-50
23871,11,3,0,0
23871,12,4,1,0
23871,13,2,0,-50
23871,14,1,1,50
23871,15,1,1,0
23871,16,3,1,-50
23871,17,2,0,0
23871,5,4,0,50
23871,6,4,1,-50
23871,7,4,0,50
23871,8,2,0,-50
23871,29,2,1,50
23871,30,4,1,0
23871,31,3,1,-50
23871,32,1,1,50
23871,33,4,0,0
23871,34,1,1,50
210050,58,3,1,-50
210050,60,4,1,-50
210050,56,4,1,0
210050,57,3,0,0
210050,59,2,1,0
210050,55,1,1,50
210050,73,4,1,0
210050,74,4,1,0
210050,71,4,1,-50
210050,72,3,1,0
210050,68,2,0,-50
210050,69,4,1,0
210050,70,3,1,-50
210050,61,1,1,50
210050,62,3,0,0
210050,63,4,1,-50
210050,64,2,0,0
210050,65,2,0,-50
210050,66,2,0,-50
210050,67,2,1,0
210050,75,2,0,-50
210050,76,4,1,0
210050,77,3,1,-50
210050,78,4,1,0
210050,79,2,1,0
210050,80,4,1,-50
210050,1,1,1,50
210050,2,3,0,0
210050,3,3,1,-50
210050,4,1,1,50
210050,5,4,1,0
210050,6,4,1,-50
210050,7,4,1,0
210050,8,4,1,0
210050,9,1,1,0
210050,10,2,0,-50
210050,11,2,1,0
210050,12,4,0,50
210050,13,1,1,50
210050,14,1,0,-50
210050,15,2,1,50
210050,16,2,0,-50
210050,17,1,1,50
210050,18,3,1,-50
210050,19,3,1,-50
210050,20,2,0,-50
210050,21,1,0,0
210050,22,1,1,50
210050,23,2,0,-50
210050,24,3,0,0
210050,25,1,1,50
210050,26,3,1,-50
210050,27,3,0,50
210050,28,4,1,0
210050,29,2,0,-50
210050,30,1,1,50
210050,31,3,1,-50
210050,32,3,1,-50
210050,33,2,1,0
210050,34,3,1,-50
210050,35,3,0,0
210050,36,3,0,50
210050,37,1,1,50
210050,38,1,1,50
210050,39,4,1,-50
210050,40,4,0,0
210050,41,1,1,50
210050,42,4,1,0
210050,43,2,0,0
210050,44,1,1,50
210050,45,4,1,0
210050,46,2,0,-50
210050,47,3,1,-50
210050,48,1,1,50
210050,49,3,0,0
210050,50,1,1,50
210050,51,1,0,0
210050,52,2,1,0
210050,53,1,1,50
210050,54,2,0,-50
210347,76,1,1,0
210347,77,2,0,-50
210347,78,2,1,0
210347,79,4,0,50
