Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward
1,B1_MC,PI,GAL,-1,1,,
2,B1_MC,PI,NW,1,0,,
3,B1_MC,PI,NW,1,0,,
4,B1_MC,PC,GW,1,1,,
5,B1_MC,PI,NW,1,0,,
6,B1_MC,PI,GAL,-1,1,,
7,B1_MC,PI,GAL,-1,1,,
8,B1_MC,PC,GW,1,1,,
9,B1_MC,PI,GAL,-1,1,,
10,B1_MC,PI,NW,1,0,,
11,B1_MC,PC,GW,1,1,,
12,B1_MC,PI,GAL,-1,1,,
13,B1_MC,PI,GAL,-1,1,,
14,B1_MC,PI,NW,1,0,,
15,B1_MC,PI,GAL,-1,1,,
16,B1_MC,PI,GAL,-1,1,,
17,B1_MC,PI,NW,1,0,,
18,B1_MC,PC,GW,1,1,,
19,B1_MC,PI,GAL,-1,1,,
20,B1_MC,PC,NAL,-1,0,,
21,B1_MC,PC,GW,1,1,,
22,B1_MC,PI,GAL,-1,1,,
23,B1_MC,PC,GW,1,1,,
24,B1_MC,PI,NW,1,0,,
25,B1_MC,PI,GAL,-1,1,,
26,B1_MC,PI,GAL,-1,1,,
27,B1_MC,PC,NAL,-1,0,,
28,B1_MC,PI,NW,1,0,,
29,B1_MC,PC,GW,1,1,,
30,B1_MC,PI,GAL,-1,1,,
31,B1_MC,PI,GAL,-1,1,,
32,B1_MC,PC,GW,1,1,,
33,B1_MC,PC,GW,1,1,,
34,B1_MC,PI,GAL,-1,1,,
35,B1_MC,PC,GW,1,1,,
36,B1_MC,PC,NAL,-1,0,,
37,B1_MC,PC,GW,1,1,,
38,B1_MC,PC,NAL,-1,0,,
39,B1_MC,PC,NAL,-1,0,,
40,B1_MC,PI,NW,1,0,,
41,B1_MC,PC,GW,1,1,,
42,B1_MC,PI,GAL,-1,1,,
43,B1_MC,PC,NAL,-1,0,,
44,B1_MC,PI,NW,1,0,,
45,B1_MC,PC,GW,1,1,,
46,B1_MC,PC,NAL,-1,0,,
47,B1_MC,PC,NAL,-1,0,,
48,B1_MC,PI,NW,1,0,,
49,B1_MC,PI,NW,1,0,,
50,B1_MC,PI,NW,1,0,,
51,B1_MC,PI,NW,1,0,,
52,B1_MC,PI,GAL,-1,1,,
53,B1_MC,PI,NW,1,0,,
54,B1_MC,PC,NAL,-1,0,,
55,B1_MC,PC,NAL,-1,0,,
56,B1_MC,PC,NAL,-1,0,,
57,B1_MC,PC,NAL,-1,0,,
58,B1_MC,PI,NW,1,0,,
59,B1_MC,PC,NAL,-1,0,,
60,B1_MC,PI,GAL,-1,1,,
61,B1_MC,PC,NAL,-1,0,,
62,B1_MC,PI,GAL,-1,1,,
63,B1_MC,PI,GAL,-1,1,,
64,B1_MC,PI,GAL,-1,1,,
65,B1_MC,PI,NW,1,0,,
66,B1_MC,PC,GW,1,1,,
67,B1_MC,PI,NW,1,0,,
68,B1_MC,PC,NAL,-1,0,,
69,B1_MC,PI,GAL,-1,1,,
70,B1_MC,PC,NAL,-1,0,,
71,B1_MC,PI,NW,1,0,,
72,B1_MC,PC,GW,1,1,,
73,B1_MC,PI,NW,1,0,,
74,B1_MC,PI,NW,1,0,,
75,B1_MC,PI,GAL,-1,1,,
76,B1_MC,PI,GAL,-1,1,,
77,B1_MC,PI,GAL,-1,1,,
78,B1_MC,PI,NW,1,0,,
79,B1_MC,PI,NW,1,0,,
80,B1_MC,PC,GW,1,1,,
