Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward,Correct
1,B1_MC,PI,GAL,-1,1,1.0,0.0,1
2,B1_MC,PI,NW,1,0,1.0,0.0,0
3,B1_MC,PI,NW,1,0,1.0,0.0,0
4,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
5,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
6,B1_MC,PC,NAL,-1,0,0.0,0.0,1
7,B1_MC,PC,GW,1,1,0.0,0.0,0
8,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
9,B1_MC,PC,GW,1,1,0.0,0.0,0
10,B1_MC,PC,GW,1,1,1.0,1.0,1
11,B1_MC,PC,GW,1,1,1.0,1.0,1
12,B1_MC,PC,NAL,-1,0,0.0,0.0,1
13,B1_MC,PI,NW,1,0,1.0,0.0,0
14,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
15,B1_MC,PI,GAL,-1,1,1.0,0.0,1
16,B1_MC,PC,GW,1,1,1.0,1.0,1
17,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
18,B1_MC,PI,GAL,-1,1,1.0,0.0,1
19,B1_MC,PC,GW,1,1,0.0,0.0,0
20,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
21,B1_MC,PI,NW,1,0,0.0,1.0,1
22,B1_MC,PI,GAL,-1,1,1.0,0.0,1
23,B1_MC,PC,NAL,-1,0,0.0,0.0,1
24,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
25,B1_MC,PI,NW,1,0,1.0,0.0,0
26,B1_MC,PC,GW,1,1,0.0,0.0,0
27,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
28,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
29,B1_MC,PC,GW,1,1,1.0,1.0,1
30,B1_MC,PI,NW,1,0,1.0,0.0,0
31,B1_MC,PC,GW,1,1,1.0,1.0,1
32,B1_MC,PC,NAL,-1,0,0.0,0.0,1
33,B1_MC,PI,GAL,-1,1,1.0,0.0,1
34,B1_MC,PC,NAL,-1,0,0.0,0.0,1
35,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
36,B1_MC,PC,GW,1,1,1.0,1.0,1
37,B1_MC,PI,NW,1,0,1.0,0.0,0
38,B1_MC,PI,NW,1,0,1.0,0.0,0
39,B1_MC,PC,NAL,-1,0,0.0,0.0,1
40,B1_MC,PC,GW,1,1,0.0,0.0,0
41,B1_MC,PC,NAL,-1,0,0.0,0.0,1
42,B1_MC,PC,NAL,-1,0,0.0,0.0,1
43,B1_MC,PC,GW,1,1,1.0,1.0,1
44,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
45,B1_MC,PC,NAL,-1,0,0.0,0.0,1
46,B1_MC,PC,GW,1,1,1.0,1.0,1
47,B1_MC,PI,GAL,-1,1,1.0,0.0,1
48,B1_MC,PC,NAL,-1,0,0.0,0.0,1
49,B1_MC,PI,NW,1,0,0.0,1.0,1
50,B1_MC,PC,GW,1,1,1.0,1.0,1
51,B1_MC,PC,GW,1,1,1.0,1.0,1
52,B1_MC,PC,GW,1,1,1.0,1.0,1
53,B1_MC,PC,GW,1,1,1.0,1.0,1
54,B1_MC,PC,NAL,-1,0,0.0,0.0,1
55,B1_MC,PC,GW,1,1,1.0,1.0,1
56,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
57,B1_MC,PC,GW,1,1,1.0,1.0,1
58,B1_MC,PI,NW,1,0,0.0,1.0,1
59,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
60,B1_MC,PI,GAL,-1,1,1.0,0.0,1
61,B1_MC,PI,NW,1,0,1.0,0.0,0
62,B1_MC,PI,GAL,-1,1,1.0,0.0,1
63,B1_MC,PI,NW,1,0,1.0,0.0,0
64,B1_MC,PC,NAL,-1,0,0.0,0.0,1
